iterations,innodb_buffer_pool_size,innodb_log_file_size,innodb_flush_method,thread_cache_size,innodb_thread_sleep_delay,max_connections,Average,99%_Line,Throughput
0,128,48,fsync,9,10000,151,1790,3276,5.4
1,6563,375,fsync,49,132,166,1426,2695,6.9
2,6000,332,O_DIRECT,9,151,163,1558,2666,6.3
3,7889,417,fsync,36,238,188,1462,2361,6.8
4,5336,295,O_DIRECT,23,297,162,1493,2137,6.6
5,7889,295,O_DIRECT,23,238,162,1559,2295,6.4
6,5336,417,fsync,36,297,188,1476,2372,6.7
7,7889,295,O_DIRECT,23,238,162,1584,2375,6.2
8,5336,295,O_DIRECT,23,297,162,1545,2200,6.4
9,5336,417,O_DIRECT,23,297,162,1522,2406,6.5
10,200,447,fsync,17,295,180,1782,2608,5.6
