iterations,innodb_buffer_pool_size,innodb_log_file_size,innodb_flush_method,thread_cache_size,innodb_thread_sleep_delay,max_connections,Average,99%_Line,Throughput
0,128,48,fsync,9,10000,151,3532,5455,13.8
1,3437,48,fsync,22,36,165,1960,3340,25.2
2,1605,206,fsync,47,274,177,2008,3681,24.6
3,4470,246,fsync,10,351,194,2034,4958,24
4,5437,227,fsync,74,351,186,2081,3334,23.7
5,5435,220,O_DIRECT,76,358,182,2463,3990,20
6,7515,310,fsync,96,120,198,2449,4398,20.1
7,2595,445,fsync,73,42,180,2096,3641,23.4
8,3191,151,fsync,56,65,159,2061,3243,23.9
9,7351,136,fsync,40,364,184,2705,4418,18.2
10,2094,79,fsync,55,40,158,2789,4636,17.6
