iterations,innodb_buffer_pool_size,innodb_log_file_size,innodb_flush_method,thread_cache_size,innodb_thread_sleep_delay,max_connections,Average,99%_Line,Throughput
0,128,48,fsync,9,10000,151,1431,3074,12.2
1,3437,48,fsync,22,36,165,1178,2647,14.9
2,1605,206,fsync,47,274,177,952,2058,18.4
3,4470,246,fsync,10,351,194,953,2030,18.5
4,5437,227,fsync,74,351,186,1005,2139,17.5
5,5435,220,O_DIRECT,76,358,182,1456,3057,11.8
6,7515,310,fsync,96,120,198,1190,2800,14.5
7,2595,445,fsync,73,42,180,1060,2384,16.5
8,3191,151,fsync,56,65,159,1104,2336,15.9
9,7351,136,fsync,40,364,184,1077,2315,16.3
10,2094,79,fsync,55,40,158,1184,2585,14.8
